Ticker,Category
360one,g
abb,g
abslamc,vsu
adaniports,vg
affle,vg
ajantpharm,g
amber,g
anandrathi,su
arvind,g
ashokley,g
asterdm,vsu
aubank,g
auropharma,g
axisbank ,vsu
bajaojcon,vg
bancoindia,g
bankindia,g
bdl,g
bel,su
belrise,vg
bharatforg,vsu
bhartiartl,vsu
bhel,g
bpcl,g
britannia,vsu
canbk,su
ccl,g
ceatltd,vsu
cgpower,su
choicein,vsu
cholafin,su
coalindia,g
datapattns,su
dlinkindia,g
drreddy,g
eichermot,vsu
emcure,g
endurance,vsu
escorts,g
eternal,g
federalbnk,su
fortis,su
gabriel,su
geship,vsu
goodluck,su
granules,su
grasim,su
hcg,su
hdfccamc,su
hindalco,su
hindpetro,su
hirect,su
homefirst,g
hscl,g
icicibank,su
imfa,su
indhotel,g
indianb,su
jswsteel,su
kei,vsu
kims,vsu
kirloseng,vsu
ksb,vsu
lauruslabs,su
lemontree,vsu
lloydsme,vg
LT,su
ltf,su
mahabank,g
manakcoat,su
manappuram,vsu
marico,vsu
maxhealth,g
mfsl,g
mindacorp,su
mrpl,g
muthoofin,g
nam-india,su
nava,su
nestleind,vsu
NH,su
nhpc,g
nlcindia,g
nmdc,su
nykaa,su
oriconent,vsu
paradeep,g
pcbl,g
persistent,su
pfocus,g
pocl,g
poonawalla,g
powerindia,vsu
premexpln,g
ptc,g
radico,su
rategain,g
rblbank,su
sammaancap,vg
sandhar,g
sanduma,g
sangamind,g
sbin,su
schneider,vsu
sci,g
shaily,su
shardacorp,vg
shreerama,su
shriramfin,vsu
sikko,g
silgo,vsu
sjs,vsu
skipper,g
smspharma,su
southbank,su
spic,vsu
srf,vg
star,su
sunflag,su
sunpharma,su
suprajit,su
syrma,g
tajgvk,vsu
techm,su
tega,g
thermax,su
timetechno,g
tipsmusic,g
tirupatifl,g
titan,su
tmb,g
torntpharma,su
torntpower,g
triturbine,vg
tsfinv,g
tvsmotor,su
ultracemco,su
unionbank,su
unominda,su
ushamart,su
v2retail,su
visachrome,su
viyash,su
vtl,su
wabag,su
wanbury,vsu
wockpharma,su
zfcvindia,su
zuari,g
zyduslife,g
zyduswell,g
abcapital,su
apollohosp,su
asahindia,g
astramicro,g
bse,vsu
fiemind,vsu
gmrairport,vsu
gokulagro,g
jindalstel,su
karurvysya,su
krishnadef,g
ltfoods,g
motherson,su
mwl,vsu
polycab,vg
pricolltd,g
sansera,su
steelcas,su
tatasteel,g
thyrocare,g
BIOCON,su
CUMMINSIND,vsu
KPRMILL,su
