Ticker,Category
AAPL,g
ABBV,su
ACIO,g
ACT,su
ACWI,g
ACWX,g
ADX,g
AEG,g
AEP,vg
AFIF,su
AFL,vsu
AGD,g
AHR,su
AIT,vsu
AIZ,g
AM,su
AME,g
AMLP,g
AMRX,g
AN,su
AOA,g
AOD,g
AOR,su
APG,vsu
APH,g
APUE,su
ARGT,su
ARKQ,g
AROC,vsu
ASND,g
AVDE,su
AVDV,g
AVES,g
AVGO,vg
AVIV,g
AVLV,g
AVUS,g
AVUV,g
AXP,g
AXS,vg
AZZ,vg
BAC,g
BALI,su
BALT,su
BBCA,g
BBEU,su
BBIN,su
BBIO,g
BBJP,g
BBUS,su
BCH,g
BDJ,g
BGIG,su
BIP,vsu
BK,su
BKDV,su
BKIE,su
BKLC,su
BLBD,vsu
BLCR,g
BLK,g
BLX,vsu
BMO,vg
BMRC,vg
BNL,vg
BNS,g
BOH,g
BOKF,vg
BOTZ,g
BPOP,g
BRC,g
BSVO,g
BUFD,su
BUFQ,su
BUFR,su
BWAY,g
BWB,su
C,g
CAAP,g
CAH,g
CASH,su
CASY,vsu
CBAN,vsu
CCEP,su
CCK,su
CCNE,g
CCSI,g
CEPU,su
CGBL,su
CGCV,su
CGDV,su
CGGR,su
CGIC,g
CGIE,su
CGMM,g
CGNG,su
CGUS,su
CGXU,su
CHCO,su
CHW,g
CIB,g
CIBR,g
CINF,su
CLH,su
CM,vsu
CMU,vg
CNEQ,g
CNO,su
CNOB,g
CNP,vg
COKE,su
COLB,vg
COPY,vsu
CORO,g
COWG,su
COWZ,g
CPER,su
CPN,g
CRS,vg
CSQ,su
CSX,vg
CTBI,g
CTRE,vsu
CTRN,g
CUBI,g
CUK,g
CVCO,su
CWB,vg
CWBC,su
CWEN.A,g
CWEN,vg
CWI,su
D,su
DAKT,su
DBA,g
DBB,g
DBEF,g
DCI,g
DCOR,su
DDM,su
DEM,su
DFAC,su
DFAI,su
DFAS,su
DFAT,su
DFAU,su
DFAW,su
DFAX,g
DFIC,g
DFIS,g
DFIV,g
DFLV,g
DFSV,g
DFUS,su
DGRO,su
DGRW,su
DGX,su
DHC,vg
DIA,su
DIHP,su
DISV,su
DIVB,g
DIVI,su
DIVO,su
DLN,su
DLR,g
DMAC,g
DMXF,su
DNP,su
DON,g
DRI,g
DSI,su
DTM,vsu
DUHP,su
DVY,g
DJX,su
DYNF,su
EBAY,vg
EC,g
ECL,su
ED,g
EDIV,vsu
EEM,g
EEMV,g
EFA,su
EFVA,su
