Company Name
Reliance Industries
HDFC Bank
Bharti Airtel
SBI
ICICI Bank
TCS
Bajaj Finance
Hind. Unilever
Infosys
Life Insurance
Larsen & Toubro
Sun Pharma.Inds.
Maruti Suzuki
ITC
Axis Bank
M & M
NTPC
Kotak Mah. Bank
Titan Company
HCL Technologies
O N G C
UltraTech Cem.
Adani Ports
Bharat Electron
Adani Power
Bajaj Finserv
Coal India
JSW Steel
Power Grid Corpn
Vedanta
Hind.Aeronautics
Bajaj Auto
Avenue Super.
Nestle India
Tata Steel
Adani Enterp.
Hindustan Zinc
Eternal
Asian Paints
I O C L
Hindalco Inds.
Wipro
SBI Life Insuran
Eicher Motors
Shriram Finance
Grasim Inds
Interglobe Aviat
Divi's Lab.
Tata Motors
TVS Motor Co.
Hyundai Motor I
Jio Financial
Bank of Baroda
Torrent Pharma.
Adani Green
ICICI AMC
Britannia Inds.
Pidilite Inds.
Varun Beverages
HDFC Life Insur.
Muthoot Finance
Union Bank (I)
Power Fin.Corpn.
B P C L
A B B
Tech Mahindra
Tata Capital
DLF
Cholaman.Inv.&Fn
Trent
Punjab Natl.Bank
Solar Industries
Cummins India
I R F C
LTIMindtree
Tata Power Co.
Canara Bank
Adani Energy Sol
Samvardh. Mothe.
Indian Bank
BSE
Tata Motors PVeh
Jindal Steel
Indus Towers
Siemens
CG Power & Ind
Tata Consumer
Hitachi Energy
Apollo Hospitals
Polycab India
Bajaj Holdings
Godrej Consumer
Dr Reddy's Labs
Ambuja Cements
Hero Motocorp
Cipla
Lupin
LG Electronics
Ashok Leyland
Vodafone Idea
HDFC AMC
Siemens Ener.Ind
Billionbrains
Marico
GAIL (India)
United Spirits
GMR Airports
Max Healthcare
Mazagon Dock
ICICI Lombard
GE Vernova T&D
Bosch
Zydus Lifesci.
JSW Energy
B H E L
REC Ltd
Indian Hotels Co
Lenskart Solut.
Mankind Pharma
Lodha Developers
ICICI Pru Life
Shree Cement
NTPC Green Ene.
IDBI Bank
Aditya Birla Cap
Havells India
Dabur India
Bharat Forge
Waaree Energies
Swiggy
NHPC Ltd
H P C L
Oil India
Bharti Hexacom
Aurobindo Pharma
Persistent Systems
Torrent Power
SRF
Bank of India
Natl. Aluminium
PB Fintech.
NMDC
FSN E-Commerce
Bajaj Housing
AU Small Finance
SBI Cards
L&T Finance Ltd
Multi Comm. Exc.
One 97
IndusInd Bank
Federal Bank
General Insuranc
Alkem Lab
Lloyds Metals
Dixon Technolog.
I O B
Info Edg.(India)
Glenmark Pharma.
Linde India
Biocon
Fortis Health.
Meesho
S A I L
Schaeffler India
Uno Minda
Jindal Stain.
Yes Bank
Coromandel Inter
Adani Total Gas
Max Financial
Abbott India
Sundaram Finance
MRF
Oracle Fin.Serv.
Suzlon Energy
Rail Vikas
Phoenix Mills
IDFC First Bank
Prestige Estates
HDB FINANC SER
Colgate-Palmoliv
Nippon Life Ind.
Patanjali Foods
JSW Infrast
APL Apollo Tubes
F A C T
Laurus Labs
Oberoi Realty
UPL
Knowledge Realty
Supreme Inds.
Vishal Mega Mart
Bank of Maha
Altius Telecom
Berger Paints
Bharat Dynamics
Godrej Propert.
Tube Investments
Voltas
Hindustan Copper
M & M Fin. Serv.
P I Industries
Astral
United Breweries
Petronet LNG
I R C T C
Balkrishna Inds
360 ONE
Glaxosmi. Pharma
Piramal Finance.
Motil.Oswal.Fin.
Tata Comm
KEI Industries
Embassy Off.REIT
Mphasis
Ipca Labs.
Authum Invest
Kalyan Jewellers
J K Cements
Thermax
Radico Khaitan
Blue Star
3M India
Ajanta Pharma
Apar Inds.
Coforge
M R P L
Anthem Bioscienc
Premier Energies
Mindspace Busine
NLC India
L&T Technology
Cochin Shipyard
Dalmia BharatLtd
Container Corpn.
H U D C O
Poonawalla Fin
AIA Engineering
Escorts Kubota
Gujarat Fluoroch
Page Industries
Endurance Tech.
Aster DM Health.
Narayana Hrudaya
J B Chemicals &
P & G Hygiene
Indian Renewable
ITC Hotels
Central Bank
Navin Fluo.Intl.
UCO Bank
Godfrey Phillips
Tata Inv.Corpn.
Go Digit General
Jubilant Food.
Sona BLW Precis.
Delhivery
National High
Chola Financial
CRISIL
eClerx Services
Godrej Industrie
K P R Mill Ltd
Global Health
TVS Holdings
Emcure Pharma
LIC Housing Fin.
Aditya AMC
Karur Vysya Bank
Force Motors
Ather Energy
SJVN
Star Health Insu
ITI
Gland Pharma
Garden Reach Sh.
Apollo Tyres
Bandhan Bank
Tata Elxsi
Brookfield India
Motherson Wiring
Honeywell Auto
Timken India
ZF Commercial
Krishna Institu.
Gillette India
ACC
PTC Industries
Anand Rathi Wea.
Hexaware Tech.
Gujarat Gas
Exide Inds.
IRB Infra.Devl.
Metro Brands
C D S L
Physicswallah
Kaynes Tech
Nexus Select
The Ramco Cement
Amber Enterp.
Inventurus Knowl
Dr Lal Pathlabs
AWL Agri Busine.
NBCC
Himadri Special
Sun TV Network
New India Assura
Indraprastha Gas
Pfizer
Hatsun Agro
Asahi India Glas
Tata Technolog.
Kirloskar Oil
Tenneco Clean
Manappuram Fin.
Shyam Metalics
Aegis Logistics
Nuvama Wealth
Welspun Corp
Aegis Vopak Term
Astrazeneca Phar
Schneider Elect.
Aadhar Hsg. Fin.
CESC
Sai Life
Bayer Crop Sci.
Prime Focus
IIFL Finance
PNB Housing
EIH
Angel One
GE Shipping Co
Wockhardt
Cube Highways
Sumitomo Chemi.
Deepak Nitrite
CreditAcc. Gram.
Aditya Infotech
IndiGrid Trust
Pine Labs
Kalpataru Proj.
Emami
Piramal Pharma
Affle 3i
Castrol India
Atul
Netweb Technol.
RBL Bank
Redington
HBL Engineering
ERIS Lifescience
KIOCL
JSW Holdings
City Union Bank
Sarda Energy
Acutaas Chemical
Sagility
Data Pattern
KPIT Technologi.
N S D L
OneSource Speci.
CIE Automotive
Sundram Fasten.
Natco Pharma
G M D C
Tata Chemicals
Godawari Power
Avanti Feeds
Urban Company
Chambal Fert.
Syngene Intl.
Capri Global
Ratnamani Metals
Pun. & Sind Bank
DCM Shriram
Vertis Infra.
Craftsman Auto
Grindwell Norton
Bharat Coking
Jyoti CNC Auto.
Crompton Gr. Con
Brigade Enterpr.
Anant Raj
JSW Cement
Chalet Hotels
Cams Services
Neuland Labs.
Bikaji Foods
KFin Technolog.
Belrise Industri
R R Kabel
Aarti Industries
LMW
Firstsour.Solu.
Vardhman Textile
Guj.St.Petronet
Nava
Travel Food
Ventive Hospital
BASF India
IFCI
Elgi Equipments
ACME Solar Hold.
C P C L
Jain Resource
Triveni Turbine
Emmvee Photovol.
PG Electroplast
Carborundum Uni.
Vinati Organics
Century Plyboard
Kansai Nerolac
KEC International
Kajaria Ceramics
Mah. Scooters
Amara Raja Ener.
V-Guard Industri
Anupam Rasayan
Syrma SGS Tech.
EID Parry
CCL Products
Leela Palaces Hotels
Canara HSBC
Choice Intl.
Granules India
CEAT
J & K Bank
Aether Industri.
Zydus Wellness
Inox Wind
RRPSemiconductor
Dr Agarwal's Hea
L T Foods
Jubilant Pharmo
Sobha
Alembic Pharma
International Ge
Fine Organic
Niva Bupa Health
Devyani Intl.
Fractal Analyt.
Akzo Nobel
KSB
Gallantt Ispat L
DOMS Industries
Shriram Pistons
Finolex Cables
Tega Inds.
TBO Tek
Zen Technologies
Poly Medicure
Zensar Tech.
Indiamart Inter.
Sansera Enginee.
Swan Defence
Jindal Saw
Techno Elec.Engg
BEML Ltd
Supreme Petroch.
TD Power Systems
Caplin Point Lab
Allied Blenders
UTI AMC
Rubicon Research
A B Real Estate
Concord Biotech
Usha Martin
Blue Dart Expres
Kirl. Brothers
JK Tyre & Indust
Graphite India
Gabriel India
Happy Forgings
Ircon Intl.
Deepak Fertilis.
A B Lifestyle
Ingersoll-Rand
Trident
Minda Corp
JBM Auto
Sammaan Capital
JM Financial
Alivus Life
Paradeep Phosph.
Rainbow Child.
Cohance Life
Jupiter Wagons
Brainbees Solut.
Can Fin Homes
Finolex Inds.
Aptus Value Hou.
SignatureGlobal
Privi Speci.
Godrej Agrovet
India Cements
SKF India Indus.
Tilaknagar Inds.
HFCL
S C I
Thangamayil Jew.
Ola Electric
Cupid
Engineers India
Indian Energy Ex
Swan Corp
MTAR Technologie
Five-Star Bus.Fi
NMDC Steel
Welspun Living
Indegene
The Bombay Burmah
Whirlpool India
Inox India
Gravita India
Home First Finan
Nuvoco Vistas
Afcons Infrastr.
SBFC Finance
Blackbuck
Edelweiss.Fin.
Clean Max Enviro
BLS Internat.
Ramkrishna Forg.
Mahanagar Gas
Medplus Health
Lumax Auto Tech.
PCBL Chemical
Sanofi Consumer
